"data_id","event_date","event_type","actor1","actor2","admin1","admin2","location","latitude","longitude","notes","fatalities"
9058912,2022-04-08,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Kramatorskyi","Kramatorsk",48.7306,37.5816,"On 8 April 2022, Russian forces fired two Tochka-U missiles at the railway station in Kramatorsk, Donetsk, where around 4000 civilians were awaiting evacuation. 57 people were killed, 109 injured. Russia and the rebel forces deny firing and owning such missiles, although previous movement in Belarus and regions bordering Ukraine suggests otherwise. CIT reports that the missile was likely fired from Shakhtarsk, occupied by Donetsk rebels.",57
9058914,2022-04-08,"Battles","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Donetsk","Mariupolskyi","Mariupol",47.1298,37.571,"On 8 April 2022, Russian forces and Donetsk rebels clashed with Ukrainian forces near the Azovstal plant in Mariupol. Azov battalion reports destroying an IFV, killing its personnel. Unspecified fatalities coded as 3. In the morning, Russian forces shelled the Kapitan Belousov icebreaker ship, killing one and injuring several people, and used naval rocket artillery to target the city. Other casualties unknown.",4
9058915,2022-04-08,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Pokrovskyi","Avdiivka",48.1394,37.7497,"On 8 April 2022, in the morning, Russian forces and Donetsk rebels shelled Avdiivka, Donetsk. Five people died, two were injured.",5
9058917,2022-04-08,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Volnovaskyi","Vuhledar",47.7789,37.2481,"On 8 April 2022, Russian forces shelled, including with helicopters, Vuhledar, Donetsk. One person was killed, one was injured.",1
9058920,2022-04-08,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Kharkivskyi","Kharkiv",49.9808,36.2527,"On 8 April 2022, Russian forces continued firing artillery, MLRS, and mortars at residential parts Saltivka, Oleksiivka, and HTZ of Kharkiv. 14 people were injured, 1 woman died. At least 7 houses were damaged.",1
9058928,2022-04-08,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Luhansk","Sievierodonetskyi","Lysychansk",48.9054,38.4353,"On 8 April 2022, Russian forces shelled Lysychansk, Luhansk. One woman died.",1
9058934,2022-04-08,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Odesa","Odeskyi","Odesa",46.4639,30.7386,"On 8 April 2022, in the morning, Russian forces fired 3 Bastion guided missiles from Crimea towards two civilian infrastructure objectives near Odesa. Fatalities and injuries reported. Unspecified fatalities coded as 3. In the evening, Russian force fired missiles near Odesa, causing no casualties.",3
9059450,2022-04-08,"Battles","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-) National Guard","Zaporizhia","Zaporizkyi","Zaporizhia",47.8479,35.1602,"On 8 April 2022, Ukrainian forces clashed with Russian Rosgvardia troops in Zaporizhia oblast, killing tens of Russian soldiers. One BTR vehicle was captured. Unspecified fatalities coded as 10.",10
9058904,2022-04-07,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Dnipropetrovsk","Kryvorizkyi","Maryanske",47.5522,33.9152,"On 7 April 2022, Russian forces fired with BM-21 Grad on Ukrainian civilians that were in a boat at the Kakhovka Reservoir near Maryanske village, Dnipropetrovsk while trying to escape the Russian-occupied territories. There were 14 people on the boat and 5 of them were killed, 7 received various injuries, and the whereabouts of 2 more people that were on the boat are unknown.",5
9058906,2022-04-07,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Luhansk","Sievierodonetskyi","Kreminna",49.0495,38.2179,"On 7 April 2022, Russian forces shelled Kreminna, Luhansk as a result of which one civilian died.",1
9058910,2022-04-07,"Explosions/Remote violence","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Zaporizhia","Zaporizkyi","Zaporizhia",47.8479,35.1602,"On 7 April 2022, throughout the night and morning, as a result of fighting and shelling 20 Russian soldiers were killed as well as 1 tank and other military equipment were destroyed in the Zaporizhia region. [coded to Zaporizhia as the exact location is unknown]",20
9059011,2022-04-07,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Sumy","Okhtyrskyi","Bilka",50.5291,34.9052,"On 7 April 2022, a team of electricians exploded on an anti-tank mine near the Bilka village, Sumy region while on a way to restore power in one of the villages. One person died and 4 were wounded.",1
9059025,2022-04-07,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Kharkivskyi","Kharkiv",49.9808,36.2527,"On 7 April 2022, Russian forces shelled residential areas of Kharkiv throughout the whole day as a result of which fire broke out in a high-rise building and a shopping mall. 1 civilian was killed and 14 were wounded.",1
