country,day,value,total
Slovakia,1,12033,0
Slovakia,2,12033,12033
Slovakia,3,12033,24067
Slovakia,4,12033,36100
Slovakia,5,12033,48133
Slovakia,6,12033,60167
Slovakia,7,18129,72200
Slovakia,8,11200,90329
Slovakia,9,12438,101529
Slovakia,10,14202,113967
Slovakia,11,12576,128169
Slovakia,12,12227,140745
Slovakia,13,12227,152972
Slovakia,14,10893,165199
Slovakia,15,9581,176092
Slovakia,16,10307,185673
Slovakia,17,8882,195980
Slovakia,18,8138,204862
Slovakia,19,7977,213000
Slovakia,20,7867,220977
Slovakia,21,5894,228844
Slovakia,22,5271,234738
Slovakia,23,5560,240009
Slovakia,24,4467,245569
Slovakia,25,3556,250036
Slovakia,26,3246,253592
Slovakia,27,3406,256838
Slovakia,28,3715,260244
Slovakia,29,3743,263959
Slovakia,30,4310,267702
Slovakia,31,3427,272012
Slovakia,32,2867,275439
Slovakia,33,2867,278306
Slovakia,34,2652,281172
Slovakia,35,8215,283824
Slovakia,36,2846,292039
Slovakia,37,3298,294885
Slovakia,38,3222,298183
Slovakia,39,506,301405
Slovakia,40,506,301911
Slovakia,41,2566,302417
Slovakia,42,2789,304983
Slovakia,43,3217,307772
Slovakia,44,3496,310989
Slovakia,45,3296,314485
Slovakia,46,2465,317781
Slovakia,47,2774,320246
Slovakia,48,0,323020
Hungary,1,22168,0
Hungary,2,22168,22168
Hungary,3,22168,44336
Hungary,4,22168,66505
Hungary,5,22168,88673
Hungary,6,22168,110841
Hungary,7,11729,133009
Hungary,8,12266,144738
Hungary,9,12049,157004
Hungary,10,11110,169053
Hungary,11,11185,180163
Hungary,12,22812,191348
Hungary,13,5443,214160
Hungary,14,5443,219603
Hungary,15,10530,225046
Hungary,16,10630,235576
Hungary,17,9085,246206
Hungary,18,8597,255291
Hungary,19,9055,263888
Hungary,20,9668,272943
Hungary,21,8619,282611
Hungary,22,8043,291230
Hungary,23,6245,299273
Hungary,24,6602,305518
Hungary,25,5743,312120
Hungary,26,6534,317863
Hungary,27,6480,324397
Hungary,28,5824,330877
Hungary,29,6037,336701
Hungary,30,6369,342738
Hungary,31,4934,349107
Hungary,32,5382,354041
Hungary,33,5382,359423
Hungary,34,4003,364804
Hungary,35,5728,368807
Hungary,36,5453,374535
Hungary,37,5795,379988
Hungary,38,4519,385783
Hungary,39,4426,390302
Hungary,40,4204,394728
Hungary,41,5089,398932
Hungary,42,4631,404021
Hungary,43,5236,408652
Hungary,44,5213,413888
Hungary,45,5266,419101
Hungary,46,4587,424367
Hungary,47,5388,428954
Hungary,48,0,434342
Poland,1,91330,0
Poland,2,91330,91330
Poland,3,91330,182661
Poland,4,91330,273991
Poland,5,91330,365321
Poland,6,91330,456652
Poland,7,101921,547982
Poland,8,106400,649903
Poland,9,129000,756303
Poland,10,142300,885303
Poland,11,192450,1027603
Poland,12,192450,1220053
Poland,13,54400,1412503
Poland,14,54400,1466903
Poland,15,54400,1521303
Poland,16,79800,1575703
Poland,17,64724,1655503
Poland,18,68409,1720227
Poland,19,68409,1788636
Poland,20,59400,1857045
Poland,21,47124,1916445
Poland,22,47124,1963569
Poland,23,39699,2010693
Poland,24,33462,2050392
Poland,25,29700,2083854
Poland,26,30690,2113554
Poland,27,29700,2144244
Poland,28,32175,2173944
Poland,29,30195,2206119
Poland,30,30789,2236314
Poland,31,26730,2267103
Poland,32,21483,2293833
Poland,33,21483,2315316
Poland,34,25245,2336799
Poland,35,22770,2362044
Poland,36,20889,2384814
Poland,37,23562,2405703
Poland,38,22077,2429265
Poland,39,18315,2451342
Poland,40,20790,2469657
Poland,41,24057,2490447
Poland,42,23265,2514504
Poland,43,27225,2537769
Poland,44,28908,2564994
Poland,45,28215,2593902
Poland,46,23760,2622117
Poland,47,23760,2645877
Poland,48,0,2669637
Romania,1,8544,0
Romania,2,8544,8544
Romania,3,8544,17087
Romania,4,8544,25631
Romania,5,8544,34174
Romania,6,8544,42718
Romania,7,5931,51261
Romania,8,6000,57192
Romania,9,8448,63192
Romania,10,7337,71640
Romania,11,2847,78977
Romania,12,2847,81824
Romania,13,61460,84671
Romania,14,61460,146131
Romania,15,61460,207591
Romania,16,61460,269052
Romania,17,61460,330512
Romania,18,61460,391972
Romania,19,14271,453432
Romania,20,23706,467703
Romania,21,17283,491409
Romania,22,9577,508692
Romania,23,8978,518269
Romania,24,8214,527247
Romania,25,7847,535461
Romania,26,11713,543308
Romania,27,8498,555021
Romania,28,9235,563519
Romania,29,7046,572754
Romania,30,7142,579800
Romania,31,8926,586942
Romania,32,6534,595868
Romania,33,6534,602402
Romania,34,7656,608936
Romania,35,7035,616592
Romania,36,6290,623627
Romania,37,5899,629917
Romania,38,7242,635816
Romania,39,5352,643058
Romania,40,6415,648410
Romania,41,7926,654825
Romania,42,8583,662751
Romania,43,6747,671334
Romania,44,8151,678081
Romania,45,6269,686232
Romania,46,9240,692501
Romania,47,7508,701741
Romania,48,0,709249
Moldova,1,16305,0
Moldova,2,16305,16305
Moldova,3,16305,32609
Moldova,4,16305,48914
Moldova,5,16305,65218
Moldova,6,16305,81523
Moldova,7,5427,97827
Moldova,8,-9594,103254
Moldova,9,-9594,93661
Moldova,10,-1305,84067
Moldova,11,5542,82762
Moldova,12,5542,88304
Moldova,13,5542,93846
Moldova,14,5542,99387
Moldova,15,688,104929
Moldova,16,688,105617
Moldova,17,688,106306
Moldova,18,230221,106994
Moldova,19,7239,337215
Moldova,20,6432,344454
Moldova,21,4540,350886
Moldova,22,3630,355426
Moldova,23,3458,359056
Moldova,24,2683,362514
Moldova,25,2716,365197
Moldova,26,3191,367913
Moldova,27,2955,371104
Moldova,28,2689,374059
Moldova,29,2456,376748
Moldova,30,2191,379204
Moldova,31,2232,381395
Moldova,32,1762,383627
Moldova,33,1762,385389
Moldova,34,1686,387151
Moldova,35,1350,388837
Moldova,36,1405,390187
Moldova,37,1341,391592
Moldova,38,1807,392933
Moldova,39,1708,394740
Moldova,40,2591,396448
Moldova,41,2665,399039
Moldova,42,2553,401704
Moldova,43,2354,404257
Moldova,44,4271,406611
Moldova,45,483,410882
Moldova,46,2009,411365
Moldova,47,2476,413374
Moldova,48,0,415850
Belarus,1,71,0
Belarus,2,71,71
Belarus,3,71,143
Belarus,4,71,214
Belarus,5,71,286
Belarus,6,0,357
Belarus,7,27,357
Belarus,8,22,384
Belarus,9,16,406
Belarus,10,16,422
Belarus,11,16,437
Belarus,12,156,453
Belarus,13,156,609
Belarus,14,93,765
Belarus,15,80,858
Belarus,16,144,938
Belarus,17,144,1082
Belarus,18,249,1226
Belarus,19,341,1475
Belarus,20,311,1816
Belarus,21,421,2127
Belarus,22,406,2548
Belarus,23,406,2954
Belarus,24,406,3359
Belarus,25,543,3765
Belarus,26,630,4308
Belarus,27,631,4938
Belarus,28,772,5569
Belarus,29,911,6341
Belarus,30,911,7252
Belarus,31,911,8164
Belarus,32,914,9075
Belarus,33,914,9989
Belarus,34,919,10902
Belarus,35,925,11821
Belarus,36,845,12746
Belarus,37,845,13591
Belarus,38,845,14436
Belarus,39,993,15281
Belarus,40,1043,16274
Belarus,41,743,17317
Belarus,42,1036,18060
Belarus,43,548,19096
Belarus,44,548,19644
Belarus,45,548,20191
Belarus,46,553,20739
Belarus,47,560,21292
Belarus,48,0,21852
Russia,1,7967,0
Russia,2,7967,7967
Russia,3,7967,15933
Russia,4,7967,23900
Russia,5,7967,31867
Russia,6,7967,39833
Russia,7,5500,47800
Russia,8,9200,53300
Russia,9,9200,62500
Russia,10,9200,71700
Russia,11,9200,80900
Russia,12,9200,90100
Russia,13,-2202,99300
Russia,14,8799,97098
Russia,15,8489,105897
Russia,16,8489,114386
Russia,17,8489,122876
Russia,18,11629,131365
Russia,19,12847,142994
Russia,20,13017,155841
Russia,21,15705,168858
Russia,22,15734,184563
Russia,23,15734,200297
Russia,24,15734,216030
Russia,25,20612,231764
Russia,26,18878,252376
Russia,27,11340,271254
Russia,28,11340,282594
Russia,29,11340,293933
Russia,30,11340,305273
Russia,31,11340,316613
Russia,32,11340,327953
Russia,33,11340,339292
Russia,34,2551,350632
Russia,35,2551,353183
Russia,36,2551,355734
Russia,37,2551,358284
Russia,38,2551,360835
Russia,39,2551,363386
Russia,40,2551,365937
Russia,41,2551,368487
Russia,42,2551,371038
Russia,43,16256,373589
Russia,44,14573,389845
Russia,45,14333,404418
Russia,46,14333,418751
Russia,47,0,433083
Russia,48,0,433083
